Title,Year,Director,Director_Gender,Actor,Actor_Gender,Theme_Code,Role_Code,Monster_Code,Victim_Empower_Code,Die_Survive_Code,Race_Code,Director_Code,IMG
Carrie,1976,Brian De Palma,M,Sissy Spacek,F,3,2,2,1,2,1,1,https://a.ltrbxd.com/resized/sm/upload/2c/5d/69/bc/uc3OvgmbnYaS5Y0BOjSmC1EmSz1-0-70-0-105-crop.jpg?v=52ac29973c
Scream VI,2023,Matt Bettinelli-Olpin,M,Melissa Barrera,F,2,5,1,2,1,2,1,https://a.ltrbxd.com/resized/film-poster/8/3/9/2/4/4/839244-scream-vi-0-70-0-105-crop.jpg?v=07a255685d
The Texas Chain Saw Massacre,1974,Tobe Hooper,M,Marilyn Burns,F,2,2,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/3/1/9/8/5/31985-the-texas-chain-saw-massacre-0-70-0-105-crop.jpg?v=c63b3f1958
Longlegs,2024,Osgood Perkins,M,Maika Monroe,F,1,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/1/1/1/0/0/5/9/1110059-longlegs-0-70-0-105-crop.jpg?v=9d77241a8c
M3GAN,2022,Gerard Johnstone,M,Allison Williams,F,1,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/6/5/6/4/9/465649-m3gan-0-70-0-105-crop.jpg?v=e0df89bac5
It Follows,2014,David Robert Mitchell,M,Maika Monroe,F,3,2,1,1,1,1,1,https://a.ltrbxd.com/resized/sm/upload/zr/lv/9v/wy/4MrwJZr0R9LbyOgZqwLNmtzzxbu-0-70-0-105-crop.jpg?v=0f234ef9c3
Bird Box,2018,Susanne Bier,F,Sandra Bullock,F,1,1,1,2,1,1,2,https://a.ltrbxd.com/resized/film-poster/3/4/0/2/0/2/340202-bird-box-0-70-0-105-crop.jpg?v=865f10f90a
Evil Dead Rise,2023,Lee Cronin,M,Lily Sullivan,F,1,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/6/3/6/7/6/1/636761-evil-dead-rise-0-70-0-105-crop.jpg?v=51a7fe0b29
Suspiria,1977,Dario Argento,M,Jessica Harper,F,3,3,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/4/9/0/0/44900-suspiria-0-70-0-105-crop.jpg?v=d1fbb1d377
Suspiria,2018,Luca Guadagnino,M,Dakota Johnson,F,1,3,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/2/9/3/0/6/6/293066-suspiria-0-70-0-105-crop.jpg?v=1e4a2f2d40
The Cabin in the Woods,2011,Drew Goddard,M,Kristen Connolly,F,5,5,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/3/7/5/9/8/37598-the-cabin-in-the-woods-0-70-0-105-crop.jpg?v=0f79c08986
The Blair Witch Project,1999,Daniel Myrick,M,Heather Donahue,F,2,5,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/5/0/1/5/9/50159-the-blair-witch-project-0-70-0-105-crop.jpg?v=05594b24b0
Fresh,2022,Mimi Cave,F,Daisy Edgar-Jones,F,2,5,1,2,1,1,2,https://a.ltrbxd.com/resized/film-poster/7/0/6/0/6/4/706064-fresh-0-70-0-105-crop.jpg?v=546285b96d
Aliens,1986,James Cameron,M,Sigourney Weaver,F,1,5,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/1/4/4/5/51445-aliens-0-70-0-105-crop.jpg?v=6c62918bdd
A Nightmare on Elm Street,1984,Wes Craven,M,Heather Langenkamp,F,2,2,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/1/7/0/8/51708-a-nightmare-on-elm-street-0-70-0-105-crop.jpg?v=659352ad1f
The Invisible Man,2020,Leigh Whannell,M,Elisabeth Moss,F,2,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/9/9/0/8/5/499085-the-invisible-man-0-70-0-105-crop.jpg?v=b9561b767f
Rosemary's Baby,1968,Roman Polanski,M,Mia Farrow,F,1,1,1,1,1,1,1,https://a.ltrbxd.com/resized/sm/upload/ea/vc/su/y2/fdLOXB8AysEGRL44I1RvoKiWDcW-0-70-0-105-crop.jpg?v=8e18e4f70c
Possession,1981,Andrzej Żuławski,M,Isabelle Adjani,F,1,1,2,1,2,1,1,https://a.ltrbxd.com/resized/sm/upload/8c/pk/z8/4v/aIjO3kraeaD4MDBSef3rTO2vIuZ-0-70-0-105-crop.jpg?v=cb9f332628
Raw,2016,Julia Ducournau,F,Garance Marillier,F,3,2,2,2,1,1,2,https://a.ltrbxd.com/resized/film-poster/3/2/7/9/7/4/327974-raw-0-70-0-105-crop.jpg?v=fe5f9080d2
Titane,2021,Julia Ducournau,F,Vincent Lindon,F,1,5,2,1,2,1,2,https://a.ltrbxd.com/resized/film-poster/5/5/6/5/5/3/556553-titane-0-70-0-105-crop.jpg?v=1383f3a942
The Babadook,2014,Jennifer Kent,F,Essie Davis,F,1,1,2,2,1,1,2,https://a.ltrbxd.com/resized/film-poster/1/6/9/7/2/8/169728-the-babadook-0-70-0-105-crop.jpg?v=0821d9c945
Old,2021,M. Night Shyamalan,M,Vicky Krieps,F,4,1,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/5/5/8/0/5/4/558054-old-0-70-0-105-crop.jpg?v=99abfca3a4
Climax,2018,Gaspar Noé,M,Sofia Boutella,F,2,3,1,1,1,2,1,https://a.ltrbxd.com/resized/film-poster/4/3/6/8/7/3/436873-climax-0-70-0-105-crop.jpg?v=b3003b4908
MaXXXine,2024,Ti West,M,Mia Goth,F,3,3,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/9/2/2/8/5/8/922858-maxxxine-0-70-0-105-crop.jpg?v=a0fd94e61f
A Quiet Place: Day One,2024,Michael Sarnoski,M,Lupita Nyong'o,F,5,5,1,2,2,2,1,https://a.ltrbxd.com/resized/film-poster/6/8/2/5/3/5/682535-a-quiet-place-day-one-0-70-0-105-crop.jpg?v=3eadd927ba
Scream 2,1997,Wes Craven,M,Neve Campbell,F,2,5,1,2,1,1,1,https://a.ltrbxd.com/resized/sm/upload/ju/sr/4r/t3/c5AyWNWooMGkJXlqLwmPQCjUwHt-0-70-0-105-crop.jpg?v=b19f368866
Malignant,2021,James Wan,M,Annabelle Wallis,F,1,1,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/4/6/3/4/8/546348-malignant-0-70-0-105-crop.jpg?v=11e0d82f5d
Under the Skin,2013,Jonathan Glazer,M,Scarlett Johansson,F,3,5,2,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/8/0/1/9/8/80198-under-the-skin-0-70-0-105-crop.jpg?v=732bdd03b9
House,1977,Nobuhiko Obayashi,M,Kimiko Ikegami,F,5,2,2,1,1,2,1,https://a.ltrbxd.com/resized/sm/upload/7f/z3/ho/6j/6vblWscFAbIm9V5CwHC7IImgAq9-0-70-0-105-crop.jpg?v=b505ff45b0
Immaculate,2024,Michael Mohan,M,Sydney Sweeney,F,1,4,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/9/3/8/8/9/4/938894-immaculate-0-70-0-105-crop.jpg?v=22d251986e
Fear Street: 1994,2021,Leigh Janiak,F,Kiana Madeira,F,3,5,1,2,1,2,2,https://a.ltrbxd.com/resized/film-poster/5/1/8/7/8/7/518787-fear-street-part-one-1994-0-70-0-105-crop.jpg?v=b53287ce08
Prometheus,2012,Ridley Scott,M,Noomi Rapace,F,1,5,1,2,1,1,1,https://a.ltrbxd.com/resized/sm/upload/39/zq/9r/ye/qsYQflQhOuhDpQ0W2aOcwqgDAeI-0-70-0-105-crop.jpg?v=8bfe4f51c3
Men,2022,Alex Garland,M,Jessie Buckley,F,2,5,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/6/9/9/2/9/8/699298-men-0-70-0-105-crop.jpg?v=5065da5191
The Birds,1963,Alfred Hitchcock,M,Tippi Hedren,F,3,3,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/1/5/4/9/51549-the-birds-0-70-0-105-crop.jpg?v=3b7bf23e10
Happy Death Day,2017,Christopher Landon,M,Jessica Rothe,F,3,5,2,2,1,1,1,https://a.ltrbxd.com/resized/sm/upload/zf/k0/fc/si/cTaEIUYTt52ooq9quVbAQ7NpGwo-0-70-0-105-crop.jpg?v=7b51a4b743
Halloween,2018,David Gordon Green,M,Jamie Lee Curtis,F,1,1,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/3/5/7/6/8/2/357682-halloween-0-70-0-105-crop.jpg?v=6ccefef144
Fear Street: 1978,2021,Leigh Janiak,F,Sadie Sink,F,2,2,1,1,1,1,2,https://a.ltrbxd.com/resized/film-poster/5/1/8/7/8/8/518788-fear-street-1978-0-70-0-105-crop.jpg?v=bedb574857
The Others,2001,Alejandro Amenábar,M,Nicole Kidman,F,1,1,2,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/0/6/7/5/50675-the-others-0-70-0-105-crop.jpg?v=5849ee4f9f
Orphan,2009,Jaume Collet-Serra,M,Vera Farmiga,F,1,1,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/3/8/5/4/4/38544-orphan-0-70-0-105-crop.jpg?v=4649d234cb
Hellraiser,1987,Clive Barker,M,Clare Higgins,F,2,2,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/7/4/3/8/47438-hellraiser-0-70-0-105-crop.jpg?v=c927113564
The Neon Demon,2016,Nicolas Winding Refn,M,Elle Fanning,F,4,3,1,1,2,1,1,https://a.ltrbxd.com/resized/sm/upload/bq/o8/8y/yr/paofVcjP4QgIruLIqeRKIskpDUw-0-70-0-105-crop.jpg?v=c33585e69f
Totally Killer,2023,Nahnatchka Khan,F,Kiernan Shipka,F,2,2,1,2,1,1,2,https://a.ltrbxd.com/resized/film-poster/8/7/7/3/6/0/877360-totally-killer-0-70-0-105-crop.jpg?v=6d21ed0bed
Twin Peaks: Fire Walk with Me,1992,David Lynch,M,Sheryl Lee,F,2,2,1,1,2,1,1,https://a.ltrbxd.com/resized/sm/upload/xb/qg/78/zd/tOQekTHJmVCgfUYXTb6dLAu6l8W-0-70-0-105-crop.jpg?v=647348df81
The Descent,2005,Neil Marshall,M,Shauna Macdonald,F,1,5,2,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/4/7/2/0/4/47204-the-descent-0-70-0-105-crop.jpg?v=bdd6f75932
Lisa Frankenstein,2024,Zelda Williams,F,Kathryn Newton,F,2,2,2,1,1,1,2,https://a.ltrbxd.com/resized/film-poster/8/9/5/0/0/7/895007-lisa-frankenstein-0-70-0-105-crop.jpg?v=55fbeb4cde
Hush,2016,Mike Flanagan,M,Kate Siegel,F,5,5,1,2,1,1,1,https://a.ltrbxd.com/resized/sm/upload/uy/c2/ed/fu/khDYdmPFlaTqeLQVD4ds4xC1mIf-0-70-0-105-crop.jpg?v=ae158bcac1
Night of the Living Dead,1968,George A. Romero,M,Judith O'Dea,F,2,2,1,1,2,1,1,https://a.ltrbxd.com/resized/sm/upload/mj/ua/dq/ml/faPfcZ181gWmCoMbal7bAXFPFh9-0-70-0-105-crop.jpg?v=29916e0458
Crimson Peak,2015,Guillermo del Toro,M,Mia Wasikowska,F,2,5,1,2,1,1,1,https://a.ltrbxd.com/resized/sm/upload/ab/6v/2r/jl/pCj8zem1NDAODdtvha9WFEB6iWR-0-70-0-105-crop.jpg?v=b019ae9643
Evil Dead,2013,Fede Álvarez,M,Jane Levy,F,2,5,2,2,1,1,1,https://a.ltrbxd.com/resized/sm/upload/he/wz/f9/h1/6gtHgAxgemVd3pIQlbg4YoniqEY-0-70-0-105-crop.jpg?v=c86fe09a93
The Ring,2002,Gore Verbinski,M,Naomi Watts,F,1,1,1,1,1,1,1,https://a.ltrbxd.com/resized/sm/upload/fi/eb/jh/ni/the-ring-0-70-0-105-crop.jpg?v=e9d1f52d16
Cloverfield,2008,Matt Reeves,M,Lizzy Caplan,F,2,5,1,1,1,1,1,https://a.ltrbxd.com/resized/sm/upload/07/hp/61/ut/as01o40tJ2FhtheqeXf7bVZ0EQO-0-70-0-105-crop.jpg?v=08b1fe1af9
[REC],2007,Jaume Balagueró,M,Manuela Velasco,F,2,5,1,1,2,1,1,https://a.ltrbxd.com/resized/sm/upload/wc/8v/37/hl/cOW5Oc3vnjD2QgK68BUvm6GGLZ4-0-70-0-105-crop.jpg?v=afc2876405
Fear Street: 1666,2021,Leigh Janiak,F,Kiana Madeira,F,2,2,2,2,2,2,2,https://a.ltrbxd.com/resized/film-poster/5/1/8/7/8/9/518789-fear-street-1666-0-70-0-105-crop.jpg?v=85d9173b4c
The Love Witch,2016,Anna Biller,F,Samantha Robinson,F,3,3,2,2,1,1,2,https://a.ltrbxd.com/resized/sm/upload/aq/32/q4/ke/jDKJ3yHiia0IR1uzIIIL7kUvwhu-0-70-0-105-crop.jpg?v=cedd7a43ca
"As Above, So Below",2014,John Erick Dowdle,M,Perdita Weeks,F,5,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/1/8/0/0/8/7/180087-as-above-so-below-0-70-0-105-crop.jpg?v=fba432615e
The Nun,2018,Corin Hardy,M,Taissa Farmiga,F,2,4,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/3/7/1/8/4/2/371842-the-nun-0-70-0-105-crop.jpg?v=f5b4ea0e76
Abigail,2024,Matt Bettinelli-Olpin,M,Melissa Barrera,F,1,4,1,2,1,2,1,https://a.ltrbxd.com/resized/film-poster/1/0/0/1/2/8/5/1001285-abigail-0-70-0-105-crop.jpg?v=39f001008d
Halloween Kills,2021,David Gordon Green,M,Jamie Lee Curtis,F,1,1,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/3/7/2/2/8/537228-halloween-kills-0-70-0-105-crop.jpg?v=d46cec8106
The First Omen,2024,Arkasha Stevenson,F,Nell Tiger Free,F,1,4,2,1,1,1,2,https://a.ltrbxd.com/resized/film-poster/3/7/0/1/7/8/370178-the-first-omen-0-70-0-105-crop.jpg?v=ee3160fca0
Saint Maud,2019,Rose Glass,F,Morfydd Clark,F,5,4,2,1,2,1,2,https://a.ltrbxd.com/resized/sm/upload/8i/fl/ux/x4/uQjxpEYktu36ZiWKfn0t0FySmXl-0-70-0-105-crop.jpg?v=adf9e62e9b
Vivarium,2019,Lorcan Finnegan,M,Imogen Poots,F,1,4,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/3/9/0/1/3/9/390139-vivarium-0-70-0-105-crop.jpg?v=013b2fca58
The Visit,2015,M. Night Shyamalan,M,Olivia DeJonge,F,2,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/2/2/5/4/3/7/225437-the-visit-0-70-0-105-crop.jpg?v=af0f1530d4
Lamb,2021,Valdimar Jóhannsson,M,Noomi Rapace,F,1,1,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/7/0/7/1/1/4/707114-lamb-0-70-0-105-crop.jpg?v=06329d82b2
Halloween Ends,2022,David Gordon Green,M,Jamie Lee Curtis,F,2,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/4/3/5/9/6/543596-halloween-ends-0-70-0-105-crop.jpg?v=9571693d97
No One Will Save You,2023,Brian Duffield,M,Kaitlyn Dever,F,5,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/7/3/6/8/2/1/736821-no-one-will-save-you-0-70-0-105-crop.jpg?v=aee13d8c3c
Paranormal Activity,2007,Oren Peli,M,Katie Featherston,F,5,5,2,1,2,1,1,https://a.ltrbxd.com/resized/sm/upload/b7/gq/eb/td/aZFREpbTtX47axpa2bUaKy3669Y-0-70-0-105-crop.jpg?v=7211900bd1
Child's Play,1988,Tom Holland,M,Catherine Hicks,F,2,1,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/6/0/8/7/46087-child-s-play-0-70-0-105-crop.jpg?v=cc6f984b42
Candyman,1992,Bernard Rose,M,Virginia Madsen,F,2,5,2,2,2,1,1,https://a.ltrbxd.com/resized/sm/upload/hs/ok/6b/1z/w5YQqrwzreHfa7RmXCB7rpLLxbe-0-70-0-105-crop.jpg?v=bd68374729
Possessor,2020,Brandon Cronenberg,M,Andrea Riseborough,F,2,5,2,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/3/6/8/5/4/0/368540-possessor-0-70-0-105-crop.jpg?v=c949ea1fc0
Run,2020,Aneesh Chaganty,M,Sarah Paulson,F,1,1,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/7/5/0/3/2/475032-run-0-70-0-105-crop.jpg?v=565e813be0
The Nun II,2023,Michael Chaves,M,Taissa Farmiga,F,2,4,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/8/7/1/3/8/5/871385-the-nun-ii-0-70-0-105-crop.jpg?v=53916fc6a4
Martyrs,2008,Pascal Laugier,M,Morjana Alaoui,F,2,5,1,1,1,2,1,https://a.ltrbxd.com/resized/film-poster/4/7/0/6/1/47061-martyrs-0-70-0-105-crop.jpg?v=26b1166803
The House,2022,Paloma Baeza,F,Mia Goth,F,1,2,1,2,1,1,2,https://a.ltrbxd.com/resized/film-poster/8/3/2/4/4/4/832444-the-house-0-70-0-105-crop.jpg?v=169aaffdeb
Alien³,1992,David Fincher,M,Sigourney Weaver,F,1,5,2,2,2,1,1,https://a.ltrbxd.com/resized/film-poster/4/7/8/8/8/47888-alien-0-70-0-105-crop.jpg?v=8b2645e0e9
The Strangers,2008,Bryan Bertino,M,Liv Tyler,F,2,5,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/4/6/0/1/0/46010-the-strangers-0-70-0-105-crop.jpg?v=62b1d2f33f
A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,F,Sheila Vand,F,3,5,2,2,1,2,2,https://a.ltrbxd.com/resized/film-poster/1/7/6/0/5/3/176053-a-girl-walks-home-alone-at-night-0-70-0-105-crop.jpg?v=2dc9d92abb
Annabelle,2014,John R. Leonetti,M,Annabelle Wallis,F,1,1,1,1,1,1,1,https://a.ltrbxd.com/resized/sm/upload/h1/9m/2u/4k/annabelle-0-70-0-105-crop.jpg?v=b6e9f214e6
Gerald's Game,2017,Mike Flanagan,M,Carla Gugino,F,2,5,1,2,1,1,1,https://a.ltrbxd.com/resized/sm/upload/ij/ki/nj/ti/32dippiypDdaKv7XFEfUlQ7kPup-0-70-0-105-crop.jpg?v=c2c7aaf0b7
Death Becomes Her,1992,Robert Zemeckis,M,Goldie Hawn,F,4,3,2,1,1,1,1,https://a.ltrbxd.com/resized/sm/upload/rq/bc/7v/ac/qBujUtUMenca7C6HzZhd0an0Jg3-0-70-0-105-crop.jpg?v=025c6b1e50
I Know What You Did Last Summer,1997,Jim Gillespie,M,Jennifer Love Hewitt,F,2,2,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/9/6/3/8/49638-i-know-what-you-did-last-summer-0-70-0-105-crop.jpg?v=0800c84ab8
Texas Chainsaw Massacre,2022,David Blue Garcia,M,Sarah Yarkin,F,2,5,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/5/8/9/5/6/558956-texas-chainsaw-massacre-0-70-0-105-crop.jpg?v=55135bba7f
Inland Empire,2006,David Lynch,M,Laura Dern,F,2,3,2,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/0/8/2/2/50822-inland-empire-0-70-0-105-crop.jpg?v=b4bd226d73
Black Christmas,1974,Bob Clark,M,Olivia Hussey,F,2,5,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/4/1/3/0/5/41305-black-christmas-0-70-0-105-crop.jpg?v=d92adfabac
Ma,2019,Tate Taylor,M,Octavia Spencer,F,2,1,2,1,2,2,1,https://a.ltrbxd.com/resized/film-poster/4/3/2/4/2/7/432427-ma-0-70-0-105-crop.jpg?v=f6c23c1142
The Night House,2020,David Bruckner,M,Rebecca Hall,F,2,5,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/7/6/4/9/0/476490-the-night-house-0-70-0-105-crop.jpg?v=04d557166b
Escape Room,2019,Adam Robitel,M,Taylor Russell,F,2,5,1,2,1,2,1,https://a.ltrbxd.com/resized/film-poster/4/5/2/1/9/0/452190-escape-room-0-70-0-105-crop.jpg?v=4043f3fb65
Drag Me to Hell,2009,Sam Raimi,M,Alison Lohman,F,3,5,2,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/4/1/3/5/1/41351-drag-me-to-hell-0-70-0-105-crop.jpg?v=01ea108faa
Stoker,2013,Park Chan-wook,M,Mia Wasikowska,F,3,2,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/7/3/3/7/1/73371-stoker-0-70-0-105-crop.jpg?v=00f414ccc1
House of Wax,2005,Jaume Collet-Serra,M,Elisha Cuthbert,F,2,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/6/5/8/0/46580-house-of-wax-0-70-0-105-crop.jpg?v=504d6d1547
Orphan: First Kill,2022,William Brent Bell,M,Isabelle Fuhrman,F,5,5,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/6/8/0/3/8/3/680383-orphan-first-kill-0-70-0-105-crop.jpg?v=9e2ce49b2d
The New Mutants,2020,Josh Boone,M,Blu Hunt,F,2,2,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/2/6/9/5/9/6/269596-the-new-mutants-0-70-0-105-crop.jpg?v=45506abc84
You're Next,2011,Adam Wingard,M,Sharni Vinson,F,2,5,1,2,1,1,1,https://a.ltrbxd.com/resized/sm/upload/8i/yg/d5/m5/qhVj0F09RFtQdBrBMPhrdzivRcI-0-70-0-105-crop.jpg?v=14c38e8d4b
Scary Stories to Tell in the Dark,2019,André Øvredal,M,Zoe Colletti,F,2,2,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/3/5/1/3/0/4/351304-scary-stories-to-tell-in-the-dark-0-70-0-105-crop.jpg?v=c5144e972d
Ginger Snaps,2000,John Fawcett,M,Katharine Isabelle,F,3,2,2,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/4/6/7/6/2/46762-ginger-snaps-0-70-0-105-crop.jpg?v=89b7114ec9
