Title,Year,Director,Director_Gender,Actor,Actor_Gender,Synopsis
The Thing,1982,John Carpenter,M,Kurt Russell,M,"In remote Antarctica, a group of American research scientists are disturbed at their base camp by a helicopter shooting at a sled dog. When they take in the dog, it brutally attacks both human beings and canines in the camp and they discover that the beast can assume the shape of its victims. A resourceful helicopter pilot and the camp doctor lead the camp crew in a desperate, gory battle against the vicious creature before it picks them all off, one by one."
Five Nights at Freddy's,2023,Emma Tammi,F,Josh Hutcherson,M,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems."
Jennifer's Body,2009,Karyn Kusama,F,Megan Fox,F,A newly possessed cheerleader turns into a killer who specializes in offing her male classmates. Can her best friend put an end to the horror?
The Conjuring,2013,James Wan,M,Patrick Wilson,M,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives."
Halloween,1978,John Carpenter,M,Donald Pleasence,M,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
Godzilla Minus One,2023,Takashi Yamazaki,M,Ryunosuke Kamiki,M,"In postwar Japan, a new terror rises. Will the devastated people be able to survive... let alone fight back?"
mother!,2017,Darren Aronofsky,M,Jennifer Lawrence,F,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence."
The Sixth Sense,1999,M. Night Shyamalan,M,Bruce Willis,M,"Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret."
Shaun of the Dead,2004,Edgar Wright,M,Simon Pegg,M,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners."
The Black Phone,2021,Scott Derrickson,M,Mason Thames,M,"Finney Shaw, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney."
The Exorcist,1973,William Friedkin,M,Ellen Burstyn,F,"12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith."
Train to Busan,2016,Yeon Sang-ho,M,Gong Yoo,M,"Martial law is declared when a mysterious viral outbreak pushes Korea into a state of emergency. Those on an express train to Busan, a city that has successfully fended off the viral outbreak, must fight for their own survival…"
Annihilation,2018,Alex Garland,M,Natalie Portman,F,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
Smile,2022,Parker Finn,M,Sosie Bacon,F,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality."
It Chapter Two,2019,Andy Muschietti,M,Jessica Chastain,F,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call."
Zombieland,2009,Ruben Fleischer,M,Jesse Eisenberg,M,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other."
A Quiet Place Part II,2020,John Krasinski,M,Emily Blunt,F,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path."
Ready or Not,2019,Matt Bettinelli-Olpin,M,Samara Weaving,F,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.
Scream,2022,Matt Bettinelli-Olpin,M,Melissa Barrera,F,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past."
Carrie,1976,Brian De Palma,M,Sissy Spacek,F,"Carrie White, a shy and troubled teenage girl who is tormented by her high school peers and her fanatically religious mother, begins to use her powers of telekinesis to exact revenge upon them."
Saw,2004,James Wan,M,Cary Elwes,M,"Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying..."
Scream VI,2023,Matt Bettinelli-Olpin,M,Melissa Barrera,F,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter in New York City."
The Texas Chain Saw Massacre,1974,Tobe Hooper,M,Marilyn Burns,F,"When Sally hears that her grandfather's grave may have been vandalized, she and her paraplegic brother, Franklin, set out with their friends to investigate. After a detour to their family's old farmhouse, they discover a group of crazed, murderous outcasts living next door. As the group is attacked one by one by the chainsaw-wielding Leatherface, who wears a mask of human skin, the survivors must do everything they can to escape."
Longlegs,2024,Osgood Perkins,M,Maika Monroe,F,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
M3GAN,2022,Gerard Johnstone,M,Allison Williams,F,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results."
The Rocky Horror Picture Show,1975,Jim Sharman,M,Tim Curry,M,"Sweethearts Brad and Janet, stuck with a flat tire during a storm, discover the eerie mansion of Dr. Frank-N-Furter, a transvestite scientist. As their innocence is lost, Brad and Janet meet a houseful of wild characters, including a rocking biker and a creepy butler. Through elaborate dances and rock songs, Frank-N-Furter unveils his latest creation: a muscular man named 'Rocky'."
It Follows,2014,David Robert Mitchell,M,Maika Monroe,F,"After carefree teenager Jay  sleeps with her new boyfriend, Hugh, for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her flee or defend herself."
Bird Box,2018,Susanne Bier,F,Sandra Bullock,F,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety."
Evil Dead Rise,2023,Lee Cronin,M,Lily Sullivan,F,Three siblings find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.
Suspiria,1977,Dario Argento,M,Jessica Harper,F,"From the moment she arrives in Freiberg, Germany, to attend the prestigious Tanz Academy, American ballet-dancer Suzy Bannion senses that something horribly evil lurks within the walls of the age-old institution."
Suspiria,2018,Luca Guadagnino,M,Dakota Johnson,F,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the troupe's artistic director, an ambitious young dancer and a grieving psychotherapist. Some will succumb to the nightmare, others will finally wake up."
The Cabin in the Woods,2011,Drew Goddard,M,Kristen Connolly,F,"Five college friends spend the weekend at a remote cabin in the woods, where they get more than they bargained for. Together, they must discover the truth behind the cabin in the woods."
What We Do in the Shadows,2014,Taika Waititi,M,Jemaine Clement,M,Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.
The Blair Witch Project,1999,Daniel Myrick,M,Heather Donahue,F,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found."
Fresh,2022,Mimi Cave,F,Daisy Edgar-Jones,F,"Frustrated by scrolling dating apps only to end up on lame, tedious dates, Noa takes a chance by giving her number to the awkwardly charming Steve after a produce-section meet-cute at the grocery store."
Aliens,1986,James Cameron,M,Sigourney Weaver,F,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story—all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers."
A Nightmare on Elm Street,1984,Wes Craven,M,Heather Langenkamp,F,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world..."
The Invisible Man,2020,Leigh Whannell,M,Elisabeth Moss,F,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see."
Rosemary's Baby,1968,Roman Polanski,M,Mia Farrow,F,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn’t safe around their strange neighbors.
Late Night with the Devil,2023,Cameron Cairnes,M,David Dastmalchian,M,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation’s living rooms."
Eraserhead,1977,David Lynch,M,Jack Nance,M,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child."
Possession,1981,Andrzej Żuławski,M,Isabelle Adjani,F,"A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair."
Raw,2016,Julia Ducournau,F,Garance Marillier,F,"In Justine’s family everyone is a vet and a vegetarian. At 16, she’s a gifted teen ready to take on her first year in vet school, where her older sister also studies. There, she gets no time to settle: hazing starts right away. Justine is forced to eat raw meat for the first time in her life. Unexpected consequences emerge as her true self begins to form."
Titane,2021,Julia Ducournau,F,Agathe Rousselle,F,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years."
The Babadook,2014,Jennifer Kent,F,Essie Davis,F,"A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her."
Old,2021,M. Night Shyamalan,M,Vicky Krieps,F,"A family on a tropical holiday discovers that the secluded beach where they are staying is somehow causing them to age rapidly, reducing their entire lives into a single day."
The Evil Dead,1981,Sam Raimi,M,Bruce Campbell,M,"When a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest."
28 Days Later,2002,Danny Boyle,M,Cillian Murphy,M,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain."
World War Z,2013,Marc Forster,M,Brad Pitt,M,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls."
Climax,2018,Gaspar Noé,M,Sofia Boutella,F,Young dancers gather in a remote and empty school building to rehearse on a cold and wintry night. The all-night celebration soon turns into a hallucinatory nightmare when they learn that their sangria is laced with LSD.
MaXXXine,2024,Ti West,M,Mia Goth,F,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past."
10 Cloverfield Lane,2016,Dan Trachtenberg,M,John Goodman,M,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
A Quiet Place: Day One,2024,Michael Sarnoski,M,Lupita Nyong'o,F,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive."
Scream 2,1997,Wes Craven,M,Neve Campbell,F,"Two years after the terrifying events that occurred in Woodsboro, Sidney is now attending Windsor College in Cincinnati, and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab', Sidney knows deep down that history is repeating itself."
Infinity Pool,2023,Brandon Cronenberg,M,Alexander Skarsgård,M,"While staying at an isolated island resort, James and Em are enjoying a perfect vacation of pristine beaches, exceptional staff, and soaking up the sun. But guided by the seductive and mysterious Gabi, they venture outside the resort grounds and find themselves in a culture filled with violence, hedonism, and untold horror."
Malignant,2021,James Wan,M,Annabelle Wallis,F,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities."
I Saw the TV Glow,2024,Jane Schoenbrun,F,Justice Smith,M,"Teenager Owen is just trying to make it through life in the suburbs when his classmate introduces him to a mysterious late-night TV show — a vision of a supernatural world beneath their own. In the pale glow of the television, Owen’s view of reality begins to crack."
Under the Skin,2013,Jonathan Glazer,M,Scarlett Johansson,F,A seductive stranger prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell.
House,1977,Nobuhiko Obayashi,M,Kimiko Ikegami,F,"Hoping to find a sense of connection to her late mother, Gorgeous takes a trip to the country to visit her aunt at their ancestral house. She invites her six friends, Prof, Melody, Mac, Fantasy, Kung Fu, and Sweet, to join her. The girls soon discover that there is more to the old house than meets the eye."
Knock at the Cabin,2023,M. Night Shyamalan,M,Ben Aldridge,M,"While vacationing at a remote cabin, a young girl and her parents are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost."
The Fly,1986,David Cronenberg,M,Jeff Goldblum,M,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one."
Immaculate,2024,Michael Mohan,M,Sydney Sweeney,F,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors."
The Conjuring 2,2016,James Wan,M,Patrick Wilson,M,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.
Insidious,2010,James Wan,M,Patrick Wilson,M,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought."
Fear Street: 1994,2021,Leigh Janiak,F,Kiana Madeira,F,"In 1994, a group of teenagers discovers that the terrifying events which have haunted their town for generations ​are all connected — and that they may be the next targets."
Doctor Sleep,2019,Mike Flanagan,M,Ewan McGregor,M,"Still irrevocably scarred by the trauma he endured as a child at the Overlook, Dan Torrance has fought to find some semblance of peace. But that peace is shattered when he encounters Abra, a courageous teenager with her own powerful extrasensory gift, known as the 'shine'. Instinctively recognising that Dan shares her power, Abra has sought him out, desperate for his help against the merciless Rose the Hat and her followers."
Misery,1990,Rob Reiner,M,James Caan,M,"Novelist Paul Sheldon crashes his car on a snowy Colorado road. He is found by Annie Wilkes, the ""number one fan"" of Paul's heroine Misery Chastaine. Annie is also somewhat unstable, and Paul finds himself crippled, drugged and at her mercy."
The House That Jack Built,2018,Lars von Trier,M,Matt Dillon,M,"Failed architect, engineer and vicious murderer Jack narrates the details of some of his most elaborately orchestrated crimes, each of them a towering piece of art that defines his life's work as a serial killer for twelve years."
Scream 4,2011,Wes Craven,M,David Arquette,M,"Sidney Prescott, now the author of a self-help book, returns home to Woodsboro on the last stop of her book tour. There she reconnects with Sheriff Dewey and Gale, who are now married, as well as her cousin Jill and her Aunt Kate. Unfortunately, Sidney's appearance also brings about the return of Ghostface, putting Sidney, Gale, and Dewey, along with Jill, her friends, and the whole town of Woodsboro in danger."
The Craft,1996,Andrew Fleming,M,Robin Tunney,M,"A Catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them -- be they teachers, rivals or meddlesome parents."
Gremlins,1984,Joe Dante,M,Zach Galligan,M,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town."
Evil Dead II,1987,Sam Raimi,M,Bruce Campbell,M,"Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body."
Prometheus,2012,Ridley Scott,M,Noomi Rapace,F,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race."
Videodrome,1983,David Cronenberg,M,James Woods,M,"As the president of a trashy TV channel, Max Renn is desperate for new programming to attract viewers. When he happens upon ""Videodrome,"" a TV show dedicated to gratuitous torture and punishment, Max sees a potential hit and broadcasts the show on his channel. However, after his girlfriend auditions for the show and never returns, Max investigates the truth behind Videodrome and discovers that the graphic violence may not be as fake as he thought."
Sinister,2012,Scott Derrickson,M,Ethan Hawke,M,"Found footage helps a true-crime novelist realize how and why a family was murdered in his new home, though his discoveries put his entire family in the path of a supernatural entity."
Interview with the Vampire,1994,Neil Jordan,M,Tom Cruise,M,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter."
Men,2022,Alex Garland,M,Jessie Buckley,F,"In the aftermath of a personal tragedy, Harper retreats alone to the beautiful English countryside, hoping to find a place to heal. But someone or something from the surrounding woods appears to be stalking her. What begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears."
Scream 3,2000,Wes Craven,M,David Arquette,M,"As bodies begin dropping around the set of ‘Stab 3’ — a movie sequel based on the gruesome Woodsboro killings — Sidney, Gale and Dewey are once again drawn into a game of horror movie mayhem."
Bram Stoker's Dracula,1992,Francis Ford Coppola,M,Gary Oldman,M,"When Dracula leaves the captive Jonathan Harker and Transylvania for London in search of Mina Harker, the reincarnation of Dracula's long-dead wife Elisabeta, obsessed vampire hunter Dr. Van Helsing sets out to end the madness."
The Birds,1963,Alfred Hitchcock,M,Tippi Hedren,F,"Chic socialite Melanie Daniels enjoys a passing flirtation with an eligible attorney in a San Francisco pet shop and, on an impulse, follows him to his hometown bearing a gift of lovebirds. But upon her arrival, the bird population runs amok. Suddenly, the townsfolk face a massive avian onslaught, with the feathered fiends inexplicably attacking people all over Bodega Bay."
Friday the 13th,1980,Sean S. Cunningham,M,Betsy Palmer,M,Camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child's drowning.
Happy Death Day,2017,Christopher Landon,M,Jessica Rothe,F,"Caught in a bizarre and terrifying time warp, college student Tree finds herself repeatedly reliving the day of her murder, ultimately realizing that she must identify the killer and the reason for her death before her chances of survival run out."
Saw X,2023,Kevin Greutert,M,Tobin Bell,M,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps."
The Purge,2013,James DeMonaco,M,Ethan Hawke,M,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion."
The Conjuring: The Devil Made Me Do It,2021,Michael Chaves,M,Patrick Wilson,M,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense."
Halloween,2018,David Gordon Green,M,Jamie Lee Curtis,F,"Laurie Strode comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago."
Green Room,2015,Jeremy Saulnier,M,Anton Yelchin,M,"A punk rock band becomes trapped in a secluded venue after finding a scene of violence. For what they saw, the band themselves become targets of violence from a gang of white power skinheads, who want to eliminate all evidence of the crime."
Fear Street: 1978,2021,Leigh Janiak,F,Sadie Sink,F,"In 1978, two rival groups at Camp Nightwing must band together to solve a terrifying mystery when horrors from their towns' history come alive."
Mandy,2018,Panos Cosmatos,M,Nicolas Cage,M,"The Shadow Mountains, 1983. Red and Mandy lead a loving and peaceful existence; but when their pine-scented haven is savagely destroyed, Red is catapulted into a phantasmagoric journey filled with bloody vengeance and laced with fire."
Sweeney Todd: The Demon Barber of Fleet Street,2007,Tim Burton,M,Johnny Depp,M,"The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical."
The Skin I Live In,2011,Pedro Almodóvar,M,Antonio Banderas,M,A brilliant plastic surgeon creates a synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.
Don't Breathe,2016,Fede Álvarez,M,Stephen Lang,M,A group of teens break into a blind man's home thinking they'll get away with the perfect crime. They're wrong.
The Others,2001,Alejandro Amenábar,M,Nicole Kidman,F,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions."
Signs,2002,M. Night Shyamalan,M,Mel Gibson,M,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.
Orphan,2009,Jaume Collet-Serra,M,Vera Farmiga,F,"A married couple with a rocky past adopt 9-year old, Esther to fill the void created by a recently-stillborn baby. However, Esther is not quite who she seems."
Hellraiser,1987,Clive Barker,M,Clare Higgins,F,An unfaithful wife encounters the zombie of her dead lover while the demonic cenobites are pursuing him after he escaped their sadomasochistic underworld.
The Neon Demon,2016,Nicolas Winding Refn,M,Elle Fanning,F,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has."
Funny Games,1997,Michael Haneke,M,Ulrich Mühe,M,"Two psychotic young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement."
Zombieland: Double Tap,2019,Ruben Fleischer,M,Woody Harrelson,M,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family."
