Title,Year,Director,Director_Gender,Actor,Actor_Gender,Theme_Code,Role_Code,Monster_Code,Victim_Empower_Code,Die_Survive_Code,Race_Code
House,1977,Nobuhiko Obayashi,M,Kimiko Ikegami,F,5,2,1,1,2,2
Immaculate,2024,Michael Mohan,M,Sydney Sweeney,F,1,4,1,2,2,1
Fear Street: 1994,2021,Leigh Janiak,F,Kiana Madeira,F,3,5,2,2,2,2
Prometheus,2012,Ridley Scott,M,Noomi Rapace,F,1,5,2,2,2,1
Men,2022,Alex Garland,M,Jessie Buckley,F,2,5,2,1,2,1
The Birds,1963,Alfred Hitchcock,M,Tippi Hedren,F,3,3,2,1,2,1
Happy Death Day,2017,Christopher Landon,M,Jessica Rothe,F,3,5,1,2,2,1
Halloween,2018,David Gordon Green,M,Jamie Lee Curtis,F,1,1,2,2,2,1
Fear Street: 1978,2021,Leigh Janiak,F,Sadie Sink,F,2,2,2,1,2,1
The Others,2001,Alejandro Amenábar,M,Nicole Kidman,F,1,1,1,1,2,1
Orphan,2009,Jaume Collet-Serra,M,Vera Farmiga,F,1,1,2,1,2,1
Hellraiser,1987,Clive Barker,M,Clare Higgins,F,2,2,2,1,2,1
The Neon Demon,2016,Nicolas Winding Refn,M,Elle Fanning,F,4,3,2,1,1,1
Totally Killer,2023,Nahnatchka Khan,F,Kiernan Shipka,F,2,2,2,2,2,1
Twin Peaks: Fire Walk with Me,1992,David Lynch,M,Sheryl Lee,F,2,2,2,1,1,1
The Descent,2005,Neil Marshall,M,Shauna Macdonald,F,1,5,1,1,1,1
Lisa Frankenstein,2024,Zelda Williams,F,Kathryn Newton,F,2,2,1,1,2,1
Hush,2016,Mike Flanagan,M,Kate Siegel,F,5,5,2,2,2,1
Night of the Living Dead,1968,George A. Romero,M,Judith O'Dea,F,2,2,2,1,1,1
Crimson Peak,2015,Guillermo del Toro,M,Mia Wasikowska,F,2,5,2,2,2,1
Evil Dead,2013,Fede Álvarez,M,Jane Levy,F,2,5,1,2,2,1
The Ring,2002,Gore Verbinski,M,Naomi Watts,F,1,1,2,1,2,1
Cloverfield,2008,Matt Reeves,M,Lizzy Caplan,F,2,5,2,1,2,1
[REC],2007,Jaume Balagueró,M,Manuela Velasco,F,2,5,2,1,1,1
Fear Street: 1666,2021,Leigh Janiak,F,Kiana Madeira,F,2,2,1,2,1,2
The Love Witch,2016,Anna Biller,F,Samantha Robinson,F,3,3,1,2,2,1
"As Above, So Below",2014,John Erick Dowdle,M,Perdita Weeks,F,5,5,2,2,2,1
The Nun,2018,Corin Hardy,M,Taissa Farmiga,F,2,4,2,2,2,1
Abigail,2024,Matt Bettinelli-Olpin,M,Melissa Barrera,F,1,4,2,2,2,2
Halloween Kills,2021,David Gordon Green,M,Jamie Lee Curtis,F,1,1,2,2,2,1
The First Omen,2024,Arkasha Stevenson,F,Nell Tiger Free,F,1,4,1,1,2,1
Saint Maud,2019,Rose Glass,F,Morfydd Clark,F,5,4,1,1,1,1
Vivarium,2019,Lorcan Finnegan,M,Imogen Poots,F,1,4,2,1,1,1
The Visit,2015,M. Night Shyamalan,M,Olivia DeJonge,F,2,5,2,2,2,1
Lamb,2021,Valdimar Jóhannsson,M,Noomi Rapace,F,1,1,2,1,2,1
Halloween Ends,2022,David Gordon Green,M,Jamie Lee Curtis,F,2,5,2,2,2,1
No One Will Save You,2023,Brian Duffield,M,Kaitlyn Dever,F,5,5,2,2,2,1
Paranormal Activity,2007,Oren Peli,M,Katie Featherston,F,5,5,1,1,1,1
Child's Play,1988,Tom Holland,M,Catherine Hicks,F,2,1,2,1,2,1
Candyman,1992,Bernard Rose,M,Virginia Madsen,F,2,5,1,2,1,1
Possessor,2020,Brandon Cronenberg,M,Andrea Riseborough,F,2,5,1,1,2,1
Run,2020,Aneesh Chaganty,M,Sarah Paulson,F,1,1,1,2,2,1
The Nun II,2023,Michael Chaves,M,Taissa Farmiga,F,2,4,2,2,2,1
Martyrs,2008,Pascal Laugier,M,Morjana Alaoui,F,2,5,2,1,2,2
The House,2022,Paloma Baeza,F,Mia Goth,F,1,2,2,2,2,1
Alien³,1992,David Fincher,M,Sigourney Weaver,F,1,5,1,2,1,1
The Strangers,2008,Bryan Bertino,M,Liv Tyler,F,2,5,2,1,1,1
A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,F,Sheila Vand,F,3,5,1,2,2,2
Annabelle,2014,John R. Leonetti,M,Annabelle Wallis,F,1,1,2,1,2,1
Gerald's Game,2017,Mike Flanagan,M,Carla Gugino,F,2,5,2,2,2,1
Death Becomes Her,1992,Robert Zemeckis,M,Goldie Hawn,F,4,3,1,1,2,1
I Know What You Did Last Summer,1997,Jim Gillespie,M,Jennifer Love Hewitt,F,2,2,2,1,2,1
Texas Chainsaw Massacre,2022,David Blue Garcia,M,Sarah Yarkin,F,2,5,2,1,2,1
Inland Empire,2006,David Lynch,M,Laura Dern,F,2,3,1,1,2,1
Black Christmas,1974,Bob Clark,M,Olivia Hussey,F,2,5,2,1,1,1
Ma,2019,Tate Taylor,M,Octavia Spencer,F,2,1,1,1,1,2
The Night House,2020,David Bruckner,M,Rebecca Hall,F,2,5,2,1,2,1
Escape Room,2019,Adam Robitel,M,Taylor Russell,F,2,5,2,2,2,2
Drag Me to Hell,2009,Sam Raimi,M,Alison Lohman,F,3,5,1,1,1,1
Stoker,2013,Park Chan-wook,M,Mia Wasikowska,F,3,2,1,2,2,1
House of Wax,2005,Jaume Collet-Serra,M,Elisha Cuthbert,F,2,5,2,2,2,1
Orphan: First Kill,2022,William Brent Bell,M,Isabelle Fuhrman,F,5,5,1,2,2,1
The New Mutants,2020,Josh Boone,M,Blu Hunt,F,2,2,1,2,2,1
You're Next,2011,Adam Wingard,M,Sharni Vinson,F,2,5,2,2,2,1
Scary Stories to Tell in the Dark,2019,André Øvredal,M,Zoe Colletti,F,2,2,2,2,2,1
Ginger Snaps,2000,John Fawcett,M,Katharine Isabelle,F,3,2,1,1,1,1
Silent Hill,2006,Christophe Gans,M,Radha Mitchell,F,1,1,1,1,2,1
We're All Going to the World's Fair,2021,Jane Schoenbrun,F,Anna Cobb,F,5,2,2,2,2,1
Ring,1998,Hideo Nakata,M,Nanako Matsushima,F,1,1,1,1,2,2
Watcher,2022,Chloe Okuno,F,Maika Monroe,F,2,1,2,2,2,1
Final Destination 3,2006,James Wong,M,Mary Elizabeth Winstead,F,5,2,2,1,1,1
The Hunt,2020,Craig Zobel,M,Betty Gilpin,F,5,5,2,2,2,1
Don't Look Now,1973,Nicolas Roeg,M,Julie Christie,F,1,1,1,1,2,1
Swallow,2019,Carlo Mirabella-Davis,M,Haley Bennett,F,1,1,1,2,2,1
Annabelle: Creation,2017,David F. Sandberg,M,Stephanie Sigman,F,1,2,1,1,2,2
Halloween II,1981,Rick Rosenthal,M,Jamie Lee Curtis,F,2,5,2,1,2,1
Unfriended,2014,Levan Gabriadze,M,Shelley Hennig,F,3,2,2,1,2,1
Host,2020,Rob Savage,M,Haley Bishop,F,2,5,2,1,1,1
Funny Games,2007,Michael Haneke,M,Naomi Watts,F,2,1,2,1,1,1
Resident Evil,2002,Paul W. S. Anderson,M,Milla Jovovich,F,2,5,2,2,2,1
The Boogeyman,2023,Rob Savage,M,Sophie Thatcher,F,2,2,2,2,2,1
Dawn of the Dead,2004,Zack Snyder,M,Sarah Polley,F,1,4,2,2,2,1
Happy Death Day 2U,2019,Christopher Landon,M,Jessica Rothe,F,2,5,2,2,2,1
Underwater,2020,William Eubank,M,Kristen Stewart,F,5,5,2,2,1,1
Lights Out,2016,David F. Sandberg,M,Teresa Palmer,F,1,5,2,2,2,1
Alien Resurrection,1997,Jean-Pierre Jeunet,M,Sigourney Weaver,F,1,5,1,2,2,1
The Lodge,2019,Veronika Franz,F,Riley Keough,F,1,5,1,1,2,1
Hellraiser,2022,David Bruckner,M,Odessa A'zion,F,5,5,2,2,2,1
Un Chien Andalou,1929,Luis Buñuel,M,Simone Mareuil,F,2,5,2,1,1,1
Velvet Buzzsaw,2019,Dan Gilroy,M,Rene Russo,F,5,5,2,1,1,1
Lake Mungo,2008,Joel Anderson,M,Rosie Traynor,F,3,2,2,1,1,1
Wendell & Wild,2022,Henry Selick,M,Lyric Ross,F,1,2,2,2,2,2
The Watchers,2024,Ishana Night Shyamalan,F,Dakota Fanning,F,1,5,2,2,2,1
Jeepers Creepers,2001,Victor Salva,M,Gina Philips,F,2,5,2,1,2,1
Crawl,2019,Alexandre Aja,M,Kaya Scodelario,F,5,5,2,2,2,1
The Fog,1980,John Carpenter,M,Adrienne Barbeau,F,5,5,2,1,2,1
Scanners,1981,David Cronenberg,M,Jennifer O'Neill,F,1,5,2,1,2,1
Sleepaway Camp,1983,Robert Hiltzik,M,Felissa Rose,F,5,5,1,1,2,1
What Ever Happened to Baby Jane?,1962,Robert Aldrich,M,Bette Davis,F,5,3,1,1,2,1
Carrie,2013,Kimberly Peirce,F,Chloë Grace Moretz,F,3,2,1,1,1,1
A Tale of Two Sisters,2003,Kim Jee-woon,M,Lim Soo-jung,F,1,2,1,1,2,2
Friday the 13th Part 2,1981,Steve Miner,M,Amy Steel,F,2,4,2,1,2,1
Annabelle Comes Home,2019,Gary Dauberman,M,Vera Farmiga,F,1,4,2,2,2,1
A Nightmare on Elm Street 3: Dream Warriors,1987,Chuck Russell,M,Patricia Arquette,F,2,4,2,1,1,1
Onibaba,1964,Kaneto Shindō,M,Nobuko Otowa,F,1,5,1,1,2,2
Incantation,2022,Kevin Ko,M,Hsuan-yen Tsai,F,1,1,1,1,1,2
In the Tall Grass,2019,Vincenzo Natali,M,Laysla De Oliveira,F,1,1,2,1,1,2
Repulsion,1965,Roman Polanski,M,Catherine Deneuve,F,3,3,1,1,2,1
Under Paris,2024,Xavier Gens,M,Bérénice Bejo,F,5,5,2,1,2,2
The Shallows,2016,Jaume Collet-Serra,M,Blake Lively,F,1,5,2,2,2,1
Oculus,2013,Mike Flanagan,M,Karen Gillan,F,1,5,2,1,1,1
Diabolique,1955,Henri-Georges Clouzot,M,Véra Clouzot,F,2,5,1,1,1,1
Cam,2018,Daniel Goldhaber,M,Madeline Brewer,F,3,3,2,2,2,1
Triangle,2009,Christopher Smith,M,Melissa George,F,1,1,1,1,1,1
Dressed to Kill,1980,Brian De Palma,M,Nancy Allen,F,2,1,2,1,1,1
Planet Terror,2007,Robert Rodriguez,M,Rose McGowan,F,2,3,2,2,2,1
The Boy,2016,William Brent Bell,M,Lauren Cohan,F,2,4,2,2,2,1
The Orphanage,2007,J. A. Bayona,M,Belén Rueda,F,1,1,2,1,1,1
Mama,2013,Andy Muschietti,M,Jessica Chastain,F,1,5,2,2,2,1
Revenge,2017,Coralie Fargeat,F,Matilda Anna Ingrid Lutz,F,2,5,1,2,2,1
May,2002,Lucky McKee,M,Angela Bettis,F,4,5,1,1,2,1
AVP: Alien vs. Predator,2004,Paul W. S. Anderson,M,Sanaa Lathan,F,5,5,2,2,2,2
The Cloverfield Paradox,2018,Julius Onah,M,Gugu Mbatha-Raw,F,1,5,2,2,2,2
Carnival of Souls,1962,Herk Harvey,M,Candace Hilligoss,F,3,3,1,1,1,1
The Strangers: Chapter 1,2024,Renny Harlin,M,Madelaine Petsch,F,2,5,2,1,2,1
Bride of Chucky,1998,Ronny Yu,M,Jennifer Tilly,F,2,1,1,1,1,1
The Perfection,2018,Richard Shepard,M,Allison Williams,F,2,3,1,2,2,1
The House of the Devil,2009,Ti West,M,Jocelin Donahue,F,1,5,2,1,2,1
I See You,2019,Adam Randall,M,Helen Hunt,F,1,1,2,1,2,1
Escape Room: Tournament of Champions,2021,Adam Robitel,M,Taylor Russell,F,5,2,2,1,2,2
The Devil's Backbone,2001,Guillermo del Toro,M,Marisa Paredes,F,2,4,2,1,1,1
Friday the 13th: The Final Chapter,1984,Joseph Zito,M,Judie Aronson,F,2,2,2,1,2,1
Insidious: Chapter 3,2015,Leigh Whannell,M,Stefanie Scott,F,1,2,2,2,2,1
The Taking of Deborah Logan,2014,Adam Robitel,M,Jill Larson,F,1,5,1,1,2,1
The Wolf House,2018,Cristóbal León,M,Amalia Kassai,F,2,2,2,1,2,1
